,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
0,Vaibhav Greens Phase II,"Mallenahalli, H Cross, Bangalore",Residential Plots,"Jul, 2020",699/sq.ft,1200.00 sq.ft. - 1500.00 sq.ft.,3.5 Acres,62 units,"Oct, 2018",
1,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
2,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,
3,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
4,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
5,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
6,Shriram Shriram Sadhana,"Gokula Extension, Mathikere, North Bangalore, Bangalore",3 BHK Apartment,Ready to Move,10.00 K/sq.ft,1100.00 sq.ft.,,1 Building,"Dec, 2007",
7,Uthrankar Krishna Kruthi CR Pride,"Sanjay Nagar Main Road, Near Nagashetty Halli Bus Stop, Opp. Site to I - Mart, North Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2025",6.50 K/sq.ft,846.00 sq.ft. - 1316.00 sq.ft.,,1 Building - 19 units,"Oct, 2018",
8,Vario Homes,"Karle Town Centre, 100 Feet Kempapura Main Road Adjacent To Nagavara Lake, Nagawara, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2024",13.44 K/sq.ft,796.00 sq.ft. - 1163.00 sq.ft.,3 Acres,2 Buildings - 400 units,"Sep, 2019",
9,Luxuria,"Near World Trade Center, Malleshwaram, Central Bangalore, Bangalore","3, 4 BHK Duplex, Penthouse, Apartments",Ready to Move in,12.41 K/sq.ft,2215.00 sq.ft. - 4465.00 sq.ft.,4 Acres (70% open),2 Buildings - 197 units,"Apr, 2011",
10,Phoenix One Bangalore West,"Rajaji Nagar, Central Bangalore, Bangalore","2, 3, 4, 4.5 BHK Apartment, Duplexes","Mar, 2023",14.15 K/sq.ft,1761.00 sq.ft. - 4632.00 sq.ft.,17 Acres,5 Buildings - 735 units,"Oct, 2012",
11,Embassy One,"No. 8, Bellary Road, Ganganagar, Near Hebbal, North Bangalore, Bangalore","1, 2, 3, 4, 5 BHK Apartment, Penthouses","Jun, 2019",33.00 K/sq.ft,1992.00 sq.ft. - 11212.00 sq.ft.,2.69 Acres,2 Buildings - 109 units,"Mar, 2016",
12,Sterling Shriniket,"Mathikere, Near Sanjay Nagar, Banglore., North Bangalore, Bangalore", BHK ,Ready to Move,Price on request,On Request,,,"Jan, 1998",
13,DS Max Samrat,"Jalahalli, North Bangalore, Bangalore","2, 3, 4 BHK Apartments",Ready to Move,4.95 K/sq.ft,1100.00 sq.ft. - 2046.00 sq.ft.,1 Acres,2 Buildings - 75 units,"May, 2011",
14,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
15,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
16,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019",
17,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,
