,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,Configurations,Project Area
0,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,3 BHK Apartment,7.46 Acres
1,DAC Centum,"Plot No. 06 And 15, Professor Colony, East Tambaram, Chennai south, Chennai","Dec, 2022",7.10 K/sq.ft,1004.00 sq.ft. - 1335.00 sq.ft.,1 Building - 8 units,"Feb, 2021","2, 3 BHK Apartments",
2,LML Prakriti Phase II,"Rajmohan Nagar, EB Office, Close To Tambaram Railway Station, West Tambaram, Chennai south, Chennai","Mar, 2023",4.89 K/sq.ft,904.00 sq.ft. - 2019.00 sq.ft.,6 Buildings - 231 units,"Sep, 2019","2, 3, 4 BHK Apartments",3.5 Acres
3,DAC Centum,"Plot No. 06 And 15, Professor Colony, East Tambaram, Chennai south, Chennai","Dec, 2022",7.10 K/sq.ft,1004.00 sq.ft. - 1335.00 sq.ft.,1 Building - 8 units,"Feb, 2021","2, 3 BHK Apartments",
4,Darshan Garden,"Tambaram West, Chennai south, Chennai",Ready to Move,1.55 K/sq.ft,569.00 sq.ft. - 2513.00 sq.ft.,279 units,,Residential Plots,12.15 Acres
5,Sai Castle,"Chitlapakkam Village, Tambaram Taluk, Chengalpattu, East Tambaram, Chennai south, Chennai","May, 2023",6.50 K/sq.ft,640.00 sq.ft. - 1115.00 sq.ft.,1 Building - 35 units,"Aug, 2021","1, 2 BHK Apartments",
6,A K Navratna,"Plot No13, Manimegalai 2nd Street, Extension, Selaiyur, East Tambaram, Chennai south, Chennai","Aug, 2022",6.00 K/sq.ft,888.00 sq.ft. - 1152.00 sq.ft.,1 Building - 8 units,"Feb, 2022","2, 3 BHK Apartments",0.07 Acres
7,Landster Sai City square,"East Tambaram, Chennai south, Chennai",Ready to Move,4.50 K/sq.ft,710.00 sq.ft. - 1819.00 sq.ft.,,,Residential Plots,
8,VGK Sri Sai Enclave,"Old Perungalathur, Chennai south, Chennai","Oct, 2022",3.95 K/sq.ft,1012.00 sq.ft. - 1570.00 sq.ft.,28 units,"Mar, 2021","Residential Plot, 2s",
9,Live Aadhana,"No.3, East Tambaram, Chennai south, Chennai","Aug, 2021",5.50 K/sq.ft,773.00 sq.ft. - 902.00 sq.ft.,1 Building - 5 units,"Dec, 2020",2 BHK Apartment,0.07 Acres
10,Joel Flats,"Tambaram East, Chennai south, Chennai",Under Construction,5.80 K/sq.ft,854.00 sq.ft. - 1530.00 sq.ft.,1 Building - 8 units,"Jan, 2022","2, 3 BHK Apartments",
