,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size
0,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,,
1,Dosti Tulip Dosti West County,"Thane West, Thane","2, 3 BHK Apartments","Oct, 2026",Price on request,580.00 sq.ft. - 923.00 sq.ft.,2.77 Acres,3 Buildings - 658 units
2,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,,
3,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,,
4,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,,
5,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,,
6,Monte South 1,"Plot No. 179, Khatau Mills Compund Near Y Bridge, Next to Byculla Fire, Brigade, Byculla West8, 1841, 16/1840, Ward G South, Byculla, Central Mumbai Suburbs, Mumbai","2, 2.5, 3.5 BHK Apartments","Jun, 2022",41.35 K/sq.ft,856.00 sq.ft. - 1699.00 sq.ft.,,1 Building - 168 units
7,One Marina,"Chira Bazar Chandanwadi, Mumbai South , Mumbai","2, 3, 4, 5 BHK Apartments",,53.49 K/sq.ft,860.00 sq.ft. - 4517.00 sq.ft.,,1 Building
8,Greenstone Heritage,"Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area, Mumbai South , Mumbai", BHK ,,Price on request,On Request,,
9,Aplite Greenstone Heritage Wing D,"CS No. 1492, Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Oct, 2024",30.55 K/sq.ft,384.00 sq.ft. - 671.00 sq.ft.,,1 Building - 92 units
10,Aplite Greenstone Heritage Wing E And F,"CS No. 1492 And 1/1492 Of Fort Division, Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Oct, 2023",30.55 K/sq.ft,384.00 sq.ft. - 671.00 sq.ft.,,1 Building - 110 units
11,Greenstone Heritage,"Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area, Mumbai South , Mumbai", BHK ,,Price on request,On Request,,
12,Gorai Laxmi CHSL Casa Bellisimo,"Borivali West, Western Suburbs, Mumbai",2 BHK Apartment,"Dec, 2021",20.33 K/sq.ft,627.00 sq.ft. - 668.00 sq.ft.,,
13,Dosti Tulip Dosti West County,"Thane West, Thane","2, 3 BHK Apartments","Oct, 2026",Price on request,580.00 sq.ft. - 923.00 sq.ft.,2.77 Acres,3 Buildings - 658 units
14,Sumit One,"Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West, Western Suburbs, Mumbai","3, 4 BHK Apartments","Dec, 2024",26.35 K/sq.ft,931.00 sq.ft. - 1313.00 sq.ft.,0.31 Acres,1 Building - 16 units
15,Sumit One,"Ramdas Sutrale Marg , Off Chandavarkar Marg , Near Raichura Circle, Borivali West, Western Suburbs, Mumbai","3, 4 BHK Apartments","Dec, 2024",26.35 K/sq.ft,931.00 sq.ft. - 1313.00 sq.ft.,0.31 Acres,1 Building - 16 units
