,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
0,Tribute Vihana,"Survey No. 36-2A/4, 2A/5, 2B/28, 2B/15, Near Prestige Panorama, Keshavnagar, Mundhwa, Pune","1, 1.5, 2, 2.5, 3 BHK Apartments",Ready to Move,5.00 K/sq.ft,616.00 sq.ft. - 1317.00 sq.ft.,2 Acres (2% open),2 Buildings - 182 units,"Dec, 2013",
1,Malkani Bon Vivant,"S. No. 33/3A/2, Near Orbis School, Keshavnagar, Mundhwa, Pune","1, 2 BHK Apartments","Jun, 2019",8.89 K/sq.ft,392.00 sq.ft. - 604.00 sq.ft.,2 Acres,2 Buildings - 128 units,"Apr, 2016",
2,Riswadkar Prestige Panorma,"Keshav Nagar, Mundhwa, Pune, Pune",3 BHK Villa,Ready to Move,Price on request,1740.00 sq.ft.,,43 units,"Aug, 2007",
3,Unique Legacy Majestic,"Plot No. 35/1A/6, 35/1A/15, 36/2A/14, Mundhwa, Pune",2 BHK Apartment,"Oct, 2023",8.00 K/sq.ft,543.00 sq.ft. - 631.00 sq.ft.,1 Acres,2 Buildings - 66 units,"Sep, 2019",
4,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,
5,Nanded Kalashree,"S No 67 Pt 68 Pt A, Dhayari, Sinhagad Road, Pune","2, 2.5 BHK Apartments","Nov, 2022",7.21 K/sq.ft,650.00 sq.ft. - 700.00 sq.ft.,6 Acres,680 units,"Nov, 2019",
6,Nanded Sargam At Nanded City,"Plot No.S No13P14P15P16P17P, Nanded, Haveli, Near Dhayari, Sinhagad Road, Pune","2, 2.5, 3 BHK Apartments","Mar, 2019",8.43 K/sq.ft,665.00 sq.ft. - 1033.00 sq.ft.,13 Acres,7 Buildings - 1736 units,"Nov, 2014",
7,Venkatesh Skydale,"Sr.No. 20, Plot No. H, Beside Rajaram Bridge, Sinhagad Road, Pune","2, 3, 5 BHK Apartments","Mar, 2024",Price on request,926.00 sq.ft. - 2629.00 sq.ft.,,,,
8,Nanded Bageshree,"Sinhagad Road, Nanded Phata, Shivane, Dhayari, Sinhagad Road, Pune",2 BHK Apartment,"Nov, 2022",6.61 K/sq.ft,600.00 sq.ft. - 603.00 sq.ft.,6 Acres,680 units,"Nov, 2019",
9,Mantra Majestique Miami Apartments,"Dhayari, Pune, Sinhagad Road, Pune", BHK ,,Price on request,On Request,4 Acres,1 Building,,
